population,w,c1,c2,best_fitness,x,y,z,time
100,0.9,2.0,0.5,2.0,125.00002285592761,1.2700964314221452,-7.077123017191701e-10,5.496686935424805
100,0.4,0.5,1.0,1.9999999999999998,125.00012084027469,1.2699974512188936,3.308877739686755e-09,5.035221099853516
100,0.4,1.5,1.0,1.9999999999999996,124.9998732075119,1.2699260329529996,8.196689638437016e-09,5.16480278968811
100,0.2,0.5,1.5,1.9999999999999991,125.00002045977679,1.2698324922039415,-6.0553990473873965e-09,4.916444778442383
100,0.2,1.0,1.5,1.9999999999999991,125.00017040230074,1.2699867335445743,-7.209720254159821e-09,5.016570091247559
100,0.7,0.5,0.5,1.9999999999999987,125.00018532683303,1.2699817211242472,8.422653190349576e-09,5.016017198562622
100,0.4,0.5,1.5,1.9999999999999982,125.00000519972012,1.2698013945491138,-6.632655808510294e-09,4.9348390102386475
100,0.9,2.0,1.0,1.999999999999692,124.99952322528243,1.2705127044373445,-7.639170281964286e-08,5.073930025100708
100,0.2,2.0,1.0,1.9999999999996603,125.0000819216747,1.2707197746714753,-3.083661459691128e-09,6.174346923828125
100,0.6,0.5,0.5,1.9999999998674056,124.99998612840432,1.2667803144381462,-8.333092135042016e-08,5.043855905532837
100,0.2,0.5,1.0,1.9999999995604307,125.00420814854874,1.2710804405889593,-4.5804131514637575e-08,5.18678617477417
100,0.9,1.0,2.0,1.9999999964383295,125.00019765472815,1.2637747903790133,2.9198846169163194e-05,5.02856707572937
100,0.2,1.0,1.0,1.999999930034544,124.99891808118491,1.2546064649451845,1.8025038629727756e-06,5.059387922286987
100,0.9,2.0,1.5,1.9999926050894803,124.96121677230319,1.2916548641329746,-0.001138445249004194,5.067805051803589
100,0.9,1.5,2.0,1.9999903809597348,125.02925984106301,1.2831866692597242,-0.002038403833074588,5.017755746841431
100,0.2,1.5,1.0,1.9999889442264542,124.94584214016801,1.2624801706898716,0.0001208211130186934,5.387247085571289
100,0.6,1.5,0.5,1.9997212258162291,124.88609697572691,1.2319454033303483,0.0033311338547679873,5.085906028747559
100,0.4,1.0,0.5,1.9954203200081748,125.05241692439036,1.0287203149325448,-0.0006794937742624043,4.972243785858154
100,0.9,2.0,2.0,1.9950646611077232,124.98710575540335,1.3693263298964682,-0.04910745818170825,5.071567058563232
100,0.4,0.5,0.5,1.9373169642721344,125.39101400641782,1.4546533978152183,0.10186546091591785,4.966730833053589
100,0.2,0.5,0.5,0.7370957938630087,124.46835233563233,2.0163468830635787,0.8881858967679727,4.930080890655518
100,0.2,1.0,0.5,0.005205427024579975,124.54811599640375,1.2455071712836119,19.324264585646937,4.969904899597168
100,0.2,1.5,0.5,0.0012439461581160503,124.81455753421601,1.338591360872696,40.06584284128507,4.99908185005188
100,0.2,2.0,0.5,0.0005183863799246307,124.41335517871445,1.9854893010230008,50.02921032208157,5.738736867904663
100,0.4,1.5,0.5,0.00043502170430360893,125.1572775153086,1.2716871183464389,67.7844856252579,5.022893190383911
100,0.4,2.0,0.5,0.00020593727108226067,125.20775202834687,2.3036943692067866,69.13979242144181,4.978989124298096
