method,n_clusters_requested,n_clusters_found,random_state,fit_time_ms,int_silhouette,int_calinski_harabasz,int_davies_bouldin,int_dunn,int_wcss,int_bcss,ext_ari,ext_nmi,ext_fmi,ext_homogeneity,ext_completeness,ext_v_measure,dataset,k,true_k,seed
kmeans,3,3,7,6.648165999649791,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
isodata,3,3,7,2.856204000636353,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
minibatch_kmeans,3,3,7,6.452100000387873,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
bisecting_kmeans,3,3,7,5.210868999711238,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
gmm,3,3,7,67.18808699952206,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
adaptive,3,3,7,14.296931998615037,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,7
kmeans,3,3,13,6.491768999694614,0.7072907134227534,1715.3893633982002,0.45076206934908797,0.8886950775490883,126.53462289240677,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
isodata,3,3,13,2.8018969987897435,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
minibatch_kmeans,3,3,13,6.517158000860945,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
bisecting_kmeans,3,3,13,2.858399999240646,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
gmm,3,3,13,21.975532999931602,0.7072907134227534,1715.3893633982002,0.45076206934908797,0.8886950775490883,126.53462289240677,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
adaptive,3,3,13,12.752267000905704,0.7072907134227534,1715.3893633982002,0.45076206934908797,0.8886950775490883,126.53462289240677,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,13
kmeans,4,4,42,7.4076460005017,0.7353461757659788,3044.522065775389,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
isodata,4,4,42,2.387657001236221,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
minibatch_kmeans,4,4,42,17.539149999720394,0.7353461757659788,3044.52206577539,0.3351214167051285,0.7178471346588922,51.50803160143641,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
bisecting_kmeans,4,4,42,3.692865999255446,0.7353461757659788,3044.522065775389,0.33512141670512857,0.7178471346588922,51.508031601436414,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
gmm,4,4,42,127.07473199952801,0.7353461757659788,3044.522065775389,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
adaptive,4,4,42,12.854329999754555,0.7353461757659788,3044.522065775389,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985638,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,4,5,42
